1, 8184
5001, 267063
10001, 41779
15001, 224375
20001, 75791
25001, 106175
30001, 155130
35001, 144017
40001, 173803
45001, 202978
50001, 248331
55001, 274051
60001, 309386
65001, 349458
70001, 360958
75001, 395314
80001, 417420
85001, 430937
90001, 449183
95001, 485327
100001, 520081
105001, 524723
110001, 603134
115001, 630110
120001, 624781
125001, 659665
130001, 678662
135001, 711568
140001, 726355
145001, 734613
150001, 816376
155001, 830819
160001, 841048
165001, 885134
170001, 926017
175001, 919890
180001, 995312
185001, 983304
190001, 1030794
195001, 1063908
200001, 1074476
205001, 1109136
210001, 1134285
215001, 1175448
220001, 1173338
225001, 1233638
230001, 1273733
235001, 1266867
240001, 1311541
245001, 1351907
250001, 1376440
255001, 1395660
260001, 1449569
265001, 1460088
270001, 1515765
275001, 1483077
280001, 1530712
285001, 1741372
290001, 1627904
295001, 1580565
300001, 1727528
305001, 1687375
310001, 1693731
315001, 1763495
320001, 1843824
325001, 1838366
330001, 1854068
335001, 1885137
340001, 1935671
345001, 1941534
350001, 2014340
355001, 1999088
360001, 2044523
365001, 2035454
370001, 2072063
375001, 2114589
380001, 2136791
385001, 2152577
390001, 2206186
395001, 2326366
400001, 2279738
405001, 2271351
410001, 2280583
415001, 2346045
420001, 2377402
425001, 2433272
430001, 2426714
435001, 2479204
440001, 2450936
445001, 2550981
450001, 2520497
455001, 2600563
460001, 2579353
465001, 2772513
470001, 2717905
475001, 2676961
480001, 2708224
485001, 2719660
490001, 2846460
495001, 2823531
